base_slug,variant_slugs,name,types,sets,legal_heroes,legal_formats,keywords,implemented_by_registry,implemented_by_manual_trigger,has_functional_text,parseable_by_text_parser,in_generated_decks,priority_tier,priority_score,implementation_bucket
voltic_bolt,voltic_bolt_blue|voltic_bolt_red|voltic_bolt_yellow,Voltic Bolt,Action,ArcaneRising|HistoryPack1|Promos,Blaze|Broscilio|Emperor|Iyslander|Kano|Oscilio|Verdance,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
voltic_impact,voltic_impact_red,Voltic Impact,Action,OmensOfTheThirdAge|Promos,Aurora|Aurora2|Briar|Broscilio|Lexi|Oscilio|Starvo|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
war_cry_of_bellona,war_cry_of_bellona_yellow,War Cry of Bellona,AttackReaction,TheHunted,Boltyn,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
wash_away,wash_away_blue,Wash Away,DefenseReaction,PartTheMistveil,Enigma|Nuu|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
weeping_battleground,weeping_battleground_blue|weeping_battleground_red|weeping_battleground_yellow,Weeping Battleground,DefenseReaction,CompendiumOfRathe|GEM,Aurora|Aurora2|Briar|Chane|Florian|Viserai|Vynnset,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
whispering_mist,whispering_mist_blue,Whispering Mist,Instant,CompendiumOfRathe,Enigma|Nuu|Zen,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
will_of_the_crowd,will_of_the_crowd_blue,Will of the Crowd,Block,SuperSlam,Pleiades|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
winters_wail,winters_wail,Winter's Wail,Weapon,TalesOfAria,Jarl|Oldhim|Starvo|Terra,Blitz|Clash|Draft|LivingLegend|Open|Sealed|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
withering_shot,withering_shot_blue|withering_shot_red|withering_shot_yellow,Withering Shot,Action,AzaleaBlitzDeck|Outsiders|RiptideBlitzDeck,Azalea|Lexi|Marlynn|Riptide,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
wrecker_romp,wrecker_romp_blue|wrecker_romp_red|wrecker_romp_yellow,Wrecker Romp,Action,HistoryPack1|Promos|RhinarHeroDeck|WelcomeToRathe,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
written_in_the_stars,written_in_the_stars_blue,Written in the Stars,Action,ArmoryDeckAurora,Aurora|Aurora2|Briar,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
yinti_yanti,yinti_yanti_blue|yinti_yanti_red|yinti_yanti_yellow,Yinti Yanti,Action,Monarch,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
zap,zap_blue|zap_red|zap_yellow,Zap,Action,ArcaneRising|HistoryPack1,Blaze|Broscilio|Emperor|Iyslander|Kano|Oscilio|Verdance,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,70,template_expandable
might,might,Might,Token,FirstStrikeTerra|ArmoryDeckKayo|ArmoryDeckRhinar|BetsyBlitzDeck|HeavyHitters|KayoBlitzDeck|KayoSilverAgeDeck|Promos|RhinarBlitzDeck|RoundTheTable|SuperSlam|VictorBlitzDeck,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,60,template_expandable
nasreth_the_soul_harrower,nasreth_the_soul_harrower,"Nasreth, the Soul Harrower",Token,DuskTillDawn,Chane|Levia|Shiyana|Vynnset|Yorick,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,60,template_expandable
ponder,ponder,Ponder,Token,Dynasty|OscilioBlitzDeck|Outsiders|Promos|Rosetta|UzuriBlitzDeck,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,60,template_expandable
toughness,toughness,Toughness,Token,ArmoryDeckPleiades|Promos|SuperSlam,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,60,template_expandable
vigor,vigor,Vigor,Token,BetsyBlitzDeck|BravoSilverAgeDeck|DorintheaSilverAgeDeck|HeavyHitters|KassaiBlitzDeck|KayoBlitzDeck|KayoSilverAgeDeck|OlympiaBlitzDeck|Promos|RoundTheTable|SuperSlam|VictorBlitzDeck,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,,False,False,True,True,False,P1,60,template_expandable
aether_quickening,aether_quickening_blue|aether_quickening_red|aether_quickening_yellow,Aether Quickening,Action,Dynasty|OscilioBlitzDeck|Promos|Rosetta|VerdanceBlitzDeck,Blaze|Broscilio|Emperor|Iyslander|Kano|Oscilio|Verdance,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain|Surge,False,False,True,True,False,P2,55,template_expandable
aether_spindle,aether_spindle_blue|aether_spindle_red|aether_spindle_yellow,Aether Spindle,Action,ArcaneRising|HistoryPack1,Blaze|Broscilio|Emperor|Iyslander|Kano|Oscilio|Verdance,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,Opt,False,False,True,True,False,P2,55,template_expandable
aetherstorm_wellingtons,aetherstorm_wellingtons,Aetherstorm Wellingtons,Equipment,CompendiumOfRathe|IyslanderSilverAgeDeck,Blaze|Broscilio|Emperor|Iyslander|Kano|Oscilio|Taylor|Verdance,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,ArcaneBarrier,False,False,True,True,False,P2,55,template_expandable
aggressive_pounce,aggressive_pounce_blue|aggressive_pounce_red|aggressive_pounce_yellow,Aggressive Pounce,Action,CompendiumOfRathe|GEM,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
agility_stance,agility_stance_yellow,Agility Stance,Action,Promos|TheHunted,Boltyn|Dorinthea|Fang|Hala|Kassai|Olympia,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
alpha_rampage,alpha_rampage_red,Alpha Rampage,Action,ClassicBattlesRhinarDorinthea|HistoryPack1|WelcomeToRathe,Rhinar|Shiyana,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,Intimidate|Specialization,False,False,True,True,False,P2,55,template_expandable
ancestral_harmony,ancestral_harmony_blue,Ancestral Harmony,Action,HeavyHitters,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
angelic_attendant,angelic_attendant_yellow,Angelic Attendant,Action,SuperSlam,Prism,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,Awaken|GoAgain,False,False,True,True,False,P2,55,template_expandable
angelic_descent,angelic_descent_blue|angelic_descent_red|angelic_descent_yellow,Angelic Descent,Instant,DuskTillDawn,Prism,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
anka_drag_under,anka_drag_under_yellow,"Anka, Drag Under",Action,ArmoryDeckGravyBones|HighSeas,GravyBones,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,WateryGrave,False,False,True,True,False,P2,55,template_expandable
annexation_of_all_things_known,annexation_of_all_things_known_yellow,Annexation of All Things Known,Action,MasteryPackGuardian,Betsy|Bolfar|Bravo|Brevant|Crix|Jarl|Kox|Lyath|Oldhim|Pleiades|Reya|Starvo|Terra|Valda|Victor|Yoji,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,Crush,False,False,True,True,False,P2,55,template_expandable
annexation_of_grandeur,annexation_of_grandeur_yellow,Annexation of Grandeur,Action,MasteryPackGuardian,Betsy|Bolfar|Bravo|Brevant|Crix|Jarl|Kox|Lyath|Oldhim|Pleiades|Reya|Starvo|Terra|Valda|Victor|Yoji,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,Crush,False,False,True,True,False,P2,55,template_expandable
annexation_of_the_forge,annexation_of_the_forge_yellow,Annexation of the Forge,Action,MasteryPackGuardian,Betsy|Bolfar|Bravo|Brevant|Crix|Jarl|Kox|Lyath|Oldhim|Pleiades|Reya|Starvo|Terra|Valda|Victor|Yoji,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,Crush,False,False,True,True,False,P2,55,template_expandable
annihilator_engine,annihilator_engine_red,Annihilator Engine,Action,BrightLights,Dash|DataDoll|Maxx|Puffin|Teklovossen,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,Overpower,False,False,True,True,False,P2,55,template_expandable
anthem_of_spring,anthem_of_spring_blue,Anthem of Spring,Action,DuskTillDawn,Briar|Shiyana,Blitz|Clash|ClassicConstructed|LivingLegend|Open|UltimatePitFight,GoAgain|Specialization|Unity,False,False,True,True,False,P2,55,template_expandable
anticipating_gaze,anticipating_gaze,Anticipating Gaze,Equipment,ArmoryDeckOriginsHala,Boltyn|Dorinthea|Emperor|Fang|Hala|Kassai|Olympia|Taylor,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,BladeBreak,False,False,True,True,False,P2,55,template_expandable
aqua_laps,aqua_laps,Aqua Laps,Equipment,PartTheMistveil|Promos,Enigma|Nuu|Taylor|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Cloaked|GoAgain,False,False,True,True,False,P2,55,template_expandable
aqua_seeing_shell,aqua_seeing_shell,Aqua Seeing Shell,Equipment,NuuBlitzDeck|PartTheMistveil|Promos,Enigma|Nuu|Taylor|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Cloaked,False,False,True,True,False,P2,55,template_expandable
arakni_redback,arakni_redback,"Arakni, Redback",DemiHero,ArakniSilverAgeDeck|ArakniWebOfDeceitBlitzDeck|Promos|TheHunted,Arakni|Crackni|Slippy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
arakni_solitary_confinement,arakni_solitary_confinement,"Arakni, Solitary Confinement",Hero,ArakniBlitzDeck|Outsiders|Promos|TheHunted,Arakni,Blitz|Clash|Draft|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
arakni_web_of_deceit,arakni_web_of_deceit,"Arakni, Web of Deceit",Hero,ArakniSilverAgeDeck|ArakniWebOfDeceitBlitzDeck|TheHunted,Crackni,Blitz|Clash|Draft|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
arc_bending,arc_bending_red,Arc Bending,Action,CompendiumOfRathe,Lexi,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,Bond|GoAgain,False,False,True,True,False,P2,55,template_expandable
arc_lightning,arc_lightning_yellow,Arc Lightning,Action,ArmoryDeckAurora|Promos|Rosetta,Aurora|Aurora2|Shiyana,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,GoAgain|Specialization,False,False,True,True,False,P2,55,template_expandable
arc_ramp,arc_ramp_blue|arc_ramp_red|arc_ramp_yellow,Arc Ramp,Action,OmensOfTheThirdAge,Broscilio|Oscilio,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Amp|GoAgain,False,False,True,True,False,P2,55,template_expandable
arcane_cussing,arcane_cussing_blue|arcane_cussing_red|arcane_cussing_yellow,Arcane Cussing,Action,FlorianBlitzDeck|Rosetta,Aurora|Aurora2|Briar|Chane|Florian|Viserai|Vynnset,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
arcane_lantern,arcane_lantern,Arcane Lantern,Equipment,Everfest|Promos,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,ArcaneBarrier,False,False,True,True,False,P2,55,template_expandable
arcane_seeds__life,arcane_seeds__life_red,Arcane Seeds // Life,Action|Instant,FlorianBlitzDeck|Promos|Rosetta,Briar|Florian,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain|Meld,False,False,True,True,False,P2,55,template_expandable
arcane_twining,arcane_twining_blue|arcane_twining_red|arcane_twining_yellow,Arcane Twining,Action,OscilioBlitzDeck|Rosetta,Blaze|Broscilio|Emperor|Iyslander|Kano|Oscilio|Verdance,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Amp,False,False,True,True,False,P2,55,template_expandable
arcanic_shockwave,arcanic_shockwave_blue|arcanic_shockwave_red|arcanic_shockwave_yellow,Arcanic Shockwave,Action,ArmoryDeckAurora|Promos|TalesOfAria,Aurora|Briar|Florian,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Fusion,False,False,True,True,False,P2,55,template_expandable
argh_smash,argh_smash_yellow,Argh... Smash!,Action,CrucibleOfWar,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
art_of_the_dragon_blood,art_of_the_dragon_blood_red,Art of the Dragon: Blood,Action,Promos|TheHunted,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
aspect_of_tiger_body,aspect_of_tiger_body_red,Aspect of Tiger: Body,Action,PartTheMistveil,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Combo|GoAgain,False,False,True,True,False,P2,55,template_expandable
aspect_of_tiger_mind,aspect_of_tiger_mind_blue,Aspect of Tiger: Mind,Action,PartTheMistveil|ZenBlitzDeck,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Combo|GoAgain,False,False,True,True,False,P2,55,template_expandable
aspect_of_tiger_soul,aspect_of_tiger_soul_yellow,Aspect of Tiger: Soul,Action,PartTheMistveil,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Combo|GoAgain,False,False,True,True,False,P2,55,template_expandable
assault_and_battery,assault_and_battery_blue|assault_and_battery_red|assault_and_battery_yellow,Assault and Battery,Action,ArmoryDeckRhinar|HeavyHitters|RhinarBlitzDeck,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,BeatChest,False,False,True,True,False,P2,55,template_expandable
astral_strike,astral_strike_red,Astral Strike,Action,OmensOfTheThirdAge|Promos,Aurora|Aurora2|Briar|Broscilio|Lexi|Oscilio|Starvo|Zyggy,Blitz|ClassicConstructed|Draft|LivingLegend|Open|Sealed|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
avast_ye,avast_ye_blue,Avast Ye!,Action,ArmoryDeckGravyBones|GEM|HighSeas,GravyBones,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
awakening_bellow,awakening_bellow_blue|awakening_bellow_red|awakening_bellow_yellow,Awakening Bellow,Action,ClassicBattlesRhinarDorinthea|RhinarHeroDeck|WelcomeToRathe,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain|Intimidate,False,False,True,True,False,P2,55,template_expandable
back_heel_kick,back_heel_kick_blue|back_heel_kick_red|back_heel_kick_yellow,Back Heel Kick,Action,BenjiBlitzDeck|Outsiders,Benji|Cindra|Fai|Ira|Katsu|Zen,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,Combo,False,False,True,True,False,P2,55,template_expandable
backspin_thrust,backspin_thrust_red,Backspin Thrust,Action,SuperSlam,Dash|DataDoll|Maxx|Puffin|Teklovossen,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
bad_beats,bad_beats_blue|bad_beats_red|bad_beats_yellow,Bad Beats,Action,Everfest,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
bad_breath,bad_breath_blue|bad_breath_red|bad_breath_yellow,Bad Breath,Action,CompendiumOfRathe,Lyath|RKO,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,GoAgain|Intimidate,False,False,True,True,False,P2,55,template_expandable
ball_lightning,ball_lightning_blue|ball_lightning_red|ball_lightning_yellow,Ball Lightning,Action,TalesOfAria,Aurora|Aurora2|Briar|Broscilio|Lexi|Oscilio|Starvo|Zyggy,Blitz|Draft|LivingLegend|Open|Sealed|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
bandana_of_the_blue_beyond,bandana_of_the_blue_beyond,Bandana of the Blue Beyond,Equipment,HighSeas,Arakni|Aurora|Aurora2|Azalea|Benji|Betsy|Blaze|Bolfar|Boltyn|Bravo|Brevant|Briar|Broscilio|Brutus|Chane|Cindra|Crackni|Crix|Dash|DataDoll|Dorinthea|Dromai|Emperor|Enigma|Fai|Fang|Florian|Frankie|Genis|GravyBones|Hala|Ira|Iyslander|Jarl|Kano|Kassai|Katsu|Kavdaen|Kayo|Kox|Levia|Lexi|Librarian|Lyath|Marlynn|Maxx|Melody|Nuu|Oldhim|Olympia|Oscilio|Pleiades|Prism|Puffin|RKO|Reya|Rhinar|Riptide|Ruudi|Scurv|Shiyana|Slippy|Squizzy|Starvo|Taipanis|Taylor|Teklovossen|Terra|Theryon|Tuffnut|Uzuri|Valda|Verdance|Victor|Viserai|Vynnset|Yoji|Yorick|Zen|Zyggy,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
banneret_of_courage,banneret_of_courage_yellow,Banneret of Courage,Action,DuskTillDawn|Promos,Boltyn,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,Solflare,False,False,True,True,False,P2,55,template_expandable
banneret_of_gallantry,banneret_of_gallantry_yellow,Banneret of Gallantry,Action,DuskTillDawn|Promos,Boltyn,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,Solflare,False,False,True,True,False,P2,55,template_expandable
banneret_of_resilience,banneret_of_resilience_yellow,Banneret of Resilience,Action,ArmoryDeckBoltyn|DuskTillDawn|Promos,Boltyn,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,Solflare,False,False,True,True,False,P2,55,template_expandable
banneret_of_salvation,banneret_of_salvation_yellow,Banneret of Salvation,Action,DuskTillDawn|Promos,Boltyn,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,Solflare,False,False,True,True,False,P2,55,template_expandable
banneret_of_vigor,banneret_of_vigor_yellow,Banneret of Vigor,Action,ArmoryDeckBoltyn|DuskTillDawn|Promos,Boltyn,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,Solflare,False,False,True,True,False,P2,55,template_expandable
bare_destruction,bare_destruction_red,Bare Destruction,Action,ArmoryDeckRhinar,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,BeatChest|GoAgain,False,False,True,True,False,P2,55,template_expandable
bare_swing,bare_swing_red|bare_swing_yellow,Bare Swing,Action,ArmoryDeckRhinar,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|LivingLegend|Open|SilverAge|UltimatePitFight,BeatChest,False,False,True,True,False,P2,55,template_expandable
bark_obscenities,bark_obscenities_red,Bark Obscenities,Action,SuperSlam,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain,False,False,True,True,False,P2,55,template_expandable
barkskin_of_the_millennium_tree,barkskin_of_the_millennium_tree,Barkskin of the Millennium Tree,Equipment,Promos|Rosetta,Briar|Florian|Jarl|Oldhim|Starvo|Taylor|Terra|Verdance,Blitz|ClassicConstructed|LivingLegend|Open|UltimatePitFight,Temper,False,False,True,True,False,P2,55,template_expandable
barraging_beatdown,barraging_beatdown_blue|barraging_beatdown_red|barraging_beatdown_yellow,Barraging Beatdown,Action,HistoryPack1|WelcomeToRathe,Kayo|Levia|RKO|Rhinar|Tuffnut,Blitz|Clash|ClassicConstructed|Draft|LivingLegend|Open|Sealed|SilverAge|UltimatePitFight,GoAgain|Intimidate,False,False,True,True,False,P2,55,template_expandable
